,state,region,lat,lon,area_m2,price_brl
160,Pernambuco,Northeast,-8.1118458,-34.8947337,158,1110554.87
161,Pernambuco,Northeast,-8.0955108,-34.884688,156,1144881.1
162,Pernambuco,Northeast,-8.0944065,-34.883792,123,989403.42
163,Pernambuco,Northeast,-8.1294021,-34.9056294,63,424030.02
164,Pernambuco,Northeast,-8.183491,-34.921719,250,648782.97
165,Pernambuco,Northeast,-8.094985,-34.892761,240,1116829.6
166,Pernambuco,Northeast,-8.1263587,-34.905748,130,588895.33
167,Pernambuco,Northeast,-8.1207496,-34.899219,120,349344.66
168,Pernambuco,Northeast,-8.1435997,-34.909065,103,489082.54
169,Pernambuco,Northeast,-8.034344,-34.896725,82,578914.03
170,Pernambuco,Northeast,-8.0288008,-34.9190997,,868371.08
171,Pernambuco,Northeast,-8.046962,-34.899654,100,364316.6
172,Pernambuco,Northeast,-8.044034,-34.8955201,170,678726.79
173,Pernambuco,Northeast,-8.062398,-34.904552,140,798502.15
174,Pernambuco,Northeast,-8.034104,-34.89806,,711665.02
175,Pernambuco,Northeast,-8.027134,-34.901733,108,529007.65
176,Pernambuco,Northeast,-8.1103967,-34.9063162,142,747100.55
177,Pernambuco,Northeast,-8.1103967,-34.9063162,170,908635.8
178,Pernambuco,Northeast,-8.126271,-34.903793,,479101.27
179,Pernambuco,Northeast,-8.032375,-34.906925,203,1177790.66
180,Pernambuco,Northeast,-8.062398,-34.904552,140,848408.53
181,Pernambuco,Northeast,-8.1567832,-34.914263,250,1597004.3
182,Pernambuco,Northeast,-8.158369,-34.920389,,299438.28
183,Pernambuco,Northeast,-8.044832,-34.910873,65,379288.51
184,Pernambuco,Northeast,-8.1112378,-34.8958906,163,1211514.4
185,Pernambuco,Northeast,-8.033752,-34.8982362,89,686524.82
186,Pernambuco,Northeast,-8.033752,-34.8982362,113,832916.14
187,Pernambuco,Northeast,-8.043853,-34.907928,203,1377416.18
188,Pernambuco,Northeast,-8.068109,-34.924175,75,259513.19
189,Pernambuco,Northeast,-8.0179739,-34.940726,58,339224.03
190,Pernambuco,Northeast,-8.0307507,-34.917765,68,465423.45
191,Pernambuco,Northeast,-8.0275469,-34.9078785,66,421001.23
192,Pernambuco,Northeast,-8.1249136,-34.9077055,56,340233.61
193,Pernambuco,Northeast,-8.1410578,-34.9047129,140,959115.56
194,Pernambuco,Northeast,-8.0485123,-34.9106168,62,302878.6
195,Pernambuco,Northeast,-8.0336819,-34.8983573,127,747100.55
196,Pernambuco,Northeast,-8.0578381,-34.882897,131,648782.97
197,Pernambuco,Northeast,-8.02765,-34.920338,96,698689.35
198,Pernambuco,Northeast,-8.048381,-34.908379,75,409232.33
199,Pernambuco,Northeast,-8.021971,-34.931366,150,1097940.43
200,Pernambuco,Northeast,-8.0578238,-34.9126499,140,349344.66
201,Pernambuco,Northeast,-8.14068,-34.905975,,698689.35
202,Pernambuco,Northeast,-8.02765,-34.920338,105,818464.67
