,property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
5425,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",110,"$190,351.36 "
5426,house,|Brasil|Espírito Santo|Vila Velha|,Southeast,"-20.526928,-40.373917",126,"$113,898.77 "
5427,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,"-20.328533,-40.280777",68,"$124,820.57 "
5428,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,"-20.328533,-40.280777",70,"$96,735.94 "
5429,apartment,|Brasil|Espírito Santo|Vila Velha|Praia das Gaivotas|,Southeast,"-20.365431,-40.302483",69,"$81,133.37 "
5430,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",65,"$88,934.65 "
5431,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.330212,-40.280708",150,"$374,461.71 "
5432,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.34586,-40.287907",70,"$115,459.02 "
5433,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",100,"$193,471.88 "
5434,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",65,"$120,139.79 "
5435,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",120,"$187,230.85 "
5436,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",65,"$121,700.05 "
5437,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",65,"$127,941.08 "
5438,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",65,"$90,494.91 "
5439,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",72,"$112,338.51 "
5440,house,|Brasil|Espírito Santo|Vila Velha|,Southeast,"-20.4173258888,-40.3328938031",200,"$131,061.59 "
5441,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",58,"$82,693.62 "
5442,house,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.3796325,-40.3133023",180,"$131,061.59 "
5443,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itapoã|,Southeast,"-20.341768,-40.290421",84,"$118,579.54 "
5444,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itapoã|,Southeast,"-20.341768,-40.290421",84,"$115,459.02 "
5445,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.332952,-40.28278",163,"$296,448.85 "
5446,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",58,"$84,253.88 "
5447,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.341166,-40.286499",80,"$137,302.62 "
5448,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",125,"$123,793.80 "
5449,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",61,"$90,494.91 "
5450,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",70,"$131,061.59 "
5451,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",90,"$202,833.42 "
5452,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",87,"$180,989.82 "
5453,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",66,"$140,423.14 "
5454,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itapoã|,Southeast,"-20.328533,-40.280777",140,"$202,833.42 "
5455,house,|Brasil|Espírito Santo|Vila Velha|Praia das Gaivotas|,Southeast,"-20.3727055,-40.3128523",180,"$180,989.82 "
5456,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",167,"$321,412.96 "
5457,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,"-20.328533,-40.280777",148,"$296,448.85 "
5458,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",72,"$99,856.45 "
5459,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",130,"$134,182.11 "
5460,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",64,"$87,374.39 "
5461,house,|Brasil|Espírito Santo|Vila Velha|Praia das Gaivotas|,Southeast,"-20.3728059,-40.3115392",200,"$218,435.99 "
5462,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,,163,"$343,256.56 "
5463,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.704149,-49.236637",228,"$384,906.07 "
5464,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.697735,-49.260067",242,"$460,534.23 "
5465,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,,108,"$174,748.79 "
5466,apartment,|Brasil|Goiás|Goiânia|Alto da Glória|,Central-West,"-16.711205,-49.241066",77,"$99,856.45 "
5467,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.719257,-49.266308",79,"$124,820.57 "
5468,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.702679,-49.270164",75,"$140,423.14 "
5469,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.696392,-49.272102",114,"$169,131.87 "
5470,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.71133,-49.270039",164,"$296,448.85 "
5471,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.704149,-49.236637",214,"$359,126.56 "
5472,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.704149,-49.236637",228,"$382,495.16 "
5473,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.705791,-49.234077",58,"$120,229.66 "
5474,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.712337,-49.266994",153,"$249,641.14 "
5475,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.702679,-49.270164",138,"$234,038.56 "
5476,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.693975,-49.270466",129,"$202,833.42 "
5477,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.698107,-49.265507",210,"$436,871.99 "
5478,apartment,|Brasil|Goiás|Goiânia|Setor Oeste|,Central-West,"-16.688147,-49.260067",70,"$106,097.48 "
5479,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,,158,"$280,846.28 "
5480,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.702497,-49.268478",168,"$287,087.31 "
5481,apartment,|Brasil|Goiás|Goiânia|,Central-West,"-16.708189,-49.218273",117,"$165,387.25 "
5482,apartment,|Brasil|Goiás|Goiânia|Setor Leste Universitário|,Central-West,"-16.677952,-49.237267",95,"$93,615.42 "
5483,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.703724,-49.255001",195,"$499,282.28 "
5484,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.719257,-49.266308",165,"$275,539.22 "
5485,apartment,|Brasil|Goiás|Goiânia|Setor Oeste|,Central-West,,127,"$214,668.28 "
5486,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.696836,-49.273716",107,"$158,748.67 "
5487,apartment,|Brasil|Goiás|Goiânia|Jardim América|,Central-West,"-16.705084,-49.279266",234,"$363,837.92 "
5488,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.701618,-49.241066",171,"$293,016.28 "
5489,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.713921,-49.26767",140,"$390,064.28 "
5490,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,,100,"$127,941.08 "
5491,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.703724,-49.255001",111,"$212,194.96 "
5492,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,,75,"$142,607.50 "
5493,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.694746,-49.277805",146,"$227,797.54 "
5494,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,,139,"$230,918.05 "
5495,apartment,|Brasil|Goiás|Goiânia|Alto da Glória|,Central-West,,154,"$280,846.28 "
5496,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.694746,-49.277805",66,"$101,775.26 "
5497,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.690566,-49.278075",119,"$143,543.65 "
5498,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.72934,-49.277834",66,"$78,277.88 "
5499,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.686891,-49.264794",169,"$252,509.31 "
5500,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.686205,-49.27106",82,"$142,036.48 "
5501,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.690458,-49.278923",140,"$195,694.71 "
5502,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.689434,-49.235973",125,"$233,571.11 "
5503,apartment,|Brasil|Goiás|Goiânia|Setor Oeste|,Central-West,"-16.685824,-49.277508",73,"$107,316.45 "
5504,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.673714,-49.386167",128,"$205,163.81 "
5505,apartment,|Brasil|Goiás|Goiânia|Jardim Atlântico|,Central-West,"-16.73509,-49.294606",93,"$134,182.11 "
5506,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.697674,-49.24402",125,"$205,163.81 "
5507,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.748275,-49.201476",161,"$277,760.24 "
5508,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.711568,-49.266992",79,"$135,723.75 "
5509,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.665388,-49.233402",128,"$186,225.61 "
5510,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.693957,-49.278135",142,"$230,414.74 "
5511,apartment,|Brasil|Goiás|Goiânia|Vila Maria José|,Central-West,"-16.711157,-49.241903",79,"$104,160.09 "
5512,apartment,|Brasil|Goiás|Goiânia|Jardim Atlântico|,Central-West,"-16.732983,-49.292641",83,"$99,856.45 "
5513,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.693052,-49.278867",184,"$233,571.11 "
5514,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.702686,-49.235372",148,"$220,945.64 "
5515,apartment,|Brasil|Goiás|Goiânia|Vila Maria José|,Central-West,"-16.711382,-49.241173",65,"$94,375.35 "
5516,apartment,|Brasil|Goiás|Goiânia|Setor Oeste|,Central-West,"-16.678562,-49.270203",76,"$102,581.90 "
5517,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.686156,-49.259398",198,"$362,982.13 "
5518,apartment,|Brasil|Goiás|Goiânia|Jardim América|,Central-West,"-16.643723,-49.399113",76,"$93,112.80 "
5519,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.665117,-49.233589",73,"$121,520.10 "
5520,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.686891,-49.264794",66,"$104,160.09 "
5521,apartment,|Brasil|Goiás|Goiânia|,Central-West,"-16.686891,-49.264794",160,"$176,756.51 "
5522,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.663095,-49.179778",164,"$309,323.90 "
5523,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.699814,-49.266269",57,"$108,894.64 "
5524,apartment,|Brasil|Goiás|Goiânia|Vila Maria José|,Central-West,"-16.686891,-49.264794",75,"$107,316.45 "
5525,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,,94,"$132,567.38 "
5526,apartment,|Brasil|Goiás|Goiânia|Setor Campinas|,Central-West,"-16.674693,-49.294235",69,"$77,330.97 "
5527,apartment,|Brasil|Goiás|Goiânia|Alto da Glória|,Central-West,"-16.715705,-49.240678",64,"$106,097.48 "
5528,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,,214,"$391,000.43 "
5529,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.742831,-49.215325",89,"$140,423.14 "
5530,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.706637,-49.262365",140,"$268,291.14 "
5531,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,"-16.703497,-49.254325",140,"$261,978.41 "
5532,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,,74,"$106,097.48 "
5533,apartment,|Brasil|Goiás|Goiânia|Setor Pedro Ludovico|,Central-West,,75,"$75,752.79 "
5534,apartment,|Brasil|Goiás|Goiânia|Setor Sudoeste|,Central-West,"-16.708444,-49.242547",70,"$100,372.45 "
5535,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.745821,-49.312065",64,"$84,906.25 "
5536,apartment,|Brasil|Goiás|Goiânia|Setor Pedro Ludovico|,Central-West,"-16.686891,-49.264794",140,"$189,381.98 "
5537,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.704149,-49.236637",170,"$362,982.13 "
5538,apartment,|Brasil|Goiás|Goiânia|Setor Bela Vista|,Central-West,,232,"$296,448.85 "
5539,apartment,|Brasil|Goiás|Goiânia|Setor Marista|,Central-West,,205,"$378,763.96 "
5540,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.666599,-49.358753",85,"$104,160.09 "
5541,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.666599,-49.358753",67,"$79,856.06 "
5542,apartment,|Brasil|Goiás|Goiânia|Setor Pedro Ludovico|,Central-West,"-16.713839,-49.243211",119,"$116,785.55 "
5543,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.731049,-49.29164",76,"$88,378.25 "
5544,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.651654,-49.280365",115,"$119,941.92 "
5545,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.69212,-49.249741",99,"$154,661.95 "
5546,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.698269,-49.240708",79,"$99,425.54 "
5547,apartment,|Brasil|Goiás|Caldas Novas|,Central-West,"-17.7310888769,-48.6439080268",63,"$87,062.34 "
5548,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.7233739,-49.2766927",61,"$78,909.15 "
5549,apartment,|Brasil|Goiás|Caldas Novas|,Central-West,"-17.7315616858,-48.6412468001",78,"$99,853.33 "
5550,house,|Brasil|Goiás|Bom Jesus de Goiás|,Central-West,"-18.2212956892,-49.7412396438",252,"$78,909.15 "
5551,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.646467,-49.425158",144,"$277,760.24 "
5552,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.699814,-49.266269",73,"$173,600.15 "
5553,apartment,|Brasil|Goiás|Goiânia|Setor Oeste|,Central-West,"-16.678562,-49.270203",68,"$90,494.91 "
5554,apartment,|Brasil|Goiás|Goiânia|Alto da Glória|,Central-West,"-16.730607,-49.285175",117,"$195,694.71 "
5555,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.686891,-49.264794",74,"$89,956.44 "
5556,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.665117,-49.233589",73,"$123,098.28 "
5557,apartment,|Brasil|Goiás|Goiânia|Jardim Goiás|,Central-West,"-16.668905,-49.261114",130,"$205,163.81 "
5558,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.665393,-49.183087",190,"$378,448.33 "
5559,apartment,|Brasil|Goiás|Goiânia|Parque Amazônia|,Central-West,"-16.686891,-49.264794",92,"$126,254.65 "
5560,apartment,|Brasil|Goiás|Goiânia|Setor Bueno|,Central-West,"-16.707376,-49.266157",106,"$186,225.61 "
5561,apartment,|Brasil|Goiás|Goiânia|Alto da Glória|,Central-West,"-16.649025,-49.310947",71,"$99,425.54 "
