operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.402197,-99.101441",763000,MXN,756097.56,40199.78,,69,,11057.97101,,,,http://granjas-mexico.properati.com.mx/pmdn_venta_departamento_granjas-mexico_avena_425_jose-camacho
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1105052159,-86.8466126919",4200000,MXN,4162005.63,221283.23,300,267,737.6107667,15730.33708,2,,,http://cancun.properati.com.mx/hxeh_venta_casa_cancun
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.394358,-99.177444",6316267,MXN,6260612.54,332860.81,121,121,2750.915785,52200.55372,,,,http://benito-juarez.properati.com.mx/qtol_venta_departamento_benito-juarez_cattori-inmobiliaria-s-a-de-c-v
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.305561,-99.171219",3188000,MXN,3159160.48,167964.51,,83,,38409.63855,,,,http://olimpica.properati.com.mx/oxea_venta_departamento_olimpica_inventario-inmobiliario-5
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.408758,-99.129474",611880,MXN,606344.66,32237.8,,60,,10198,,,,http://cuauhtemoc.properati.com.mx/okpo_venta_departamento_cuauhtemoc_av-chabacano_115_santiago-luna
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4440744419,-99.1645360552",1720350,MXN,1704787.2,90639.19,0,0,,,,,,http://cuauhtemoc.properati.com.mx/jx5w_venta_departamento_cuauhtemoc
sell,house,|Tlalpan|Distrito Federal|México|,"19.299952,-99.143958",7400000,MXN,7333057.6,389879.98,,385,,19220.77922,,,,http://villa-lazaro-cardenas.properati.com.mx/m94c_venta_casa_villa-lazaro-cardenas_great-homes
sell,house,|Benito Juárez|Distrito Federal|México|,"19.3861836,-99.1521665",5950000,MXN,5897572.94,313558.92,96,182,3266.23875,32692.30769,,,,http://benito-juarez.properati.com.mx/hay9_venta_casa_benito-juarez
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.391819,-99.188639",1360000,MXN,1347696.92,71653.61,,84,,16190.47619,,,,http://benito-juarez.properati.com.mx/oidm_venta_departamento_benito-juarez_blvd-adolfo-lopez-mateos_1040_fernando-vazquez_act
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.356062,-99.191978",4642000,MXN,4600007.07,244570.65,,120,,38683.33333,,,,http://campestre.properati.com.mx/pcpy_venta_departamento_campestre_inventario-inmobiliario-5
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.284672,-99.220367",1875000,MXN,1858038.11,98787.15,,75,,25000,,,,http://lomas-de-padierna.properati.com.mx/re3d_venta_departamento_lomas-de-padierna_cerca-a-tv-azteca_berenice-trejo
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.411146,-99.182943",6500000,MXN,6441199.16,342462.14,,121,,53719.00826,,,,http://cuauhtemoc.properati.com.mx/npcc_venta_departamento_cuauhtemoc_vasconcelos_92_elva-olivia-zaizar-pineda
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.48888,-99.179278",975461,MXN,966636.71,51393.61,,60,,16257.68333,,,,http://san-marcos.properati.com.mx/p888_venta_departamento_san-marcos_calz-azcapotzalco-la-villa_260_adami-delgadillo
sell,apartment,|Iztapalapa|Distrito Federal|México|,,1339290,MXN,1327174.4,70562.48,,131,,10223.58779,,,,http://iztapalapa.properati.com.mx/gj4o_venta_departamento_iztapalapa_morelos_118
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.3358267184,-99.2018960416",8850000,MXN,8772020.14,466385.95,83,242,5619.107831,36570.24793,,,,http://alvaro-obregon.properati.com.mx/n7qo_venta_casa_alvaro-obregon_mexihom-s-a-de-c-v
sell,house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",520000,USD,9780420,520000,0,204,,2549.019608,1,,,http://cancun.properati.com.mx/l58v_venta_casa_cancun_cancunyou-real-estate
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.433934,-99.177076",9500000,MXN,9416292.89,500640.29,,270,,35185.18519,,,,http://anzures.properati.com.mx/r3n6_venta_departamento_anzures_buffon_30_elizabeth-hernandez_5e4
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,,394000,MXN,390528.22,20763.39,52,52,399.2959615,7576.923077,,,,http://cuauhtemoc.properati.com.mx/jy3b_venta_departamento_cuauhtemoc
sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,3625000,MXN,3593059.03,191033.79,72,72,2653.247083,50347.22222,,,,http://cuajimalpa-de-morelos.properati.com.mx/pr66_venta_departamento_cuajimalpa-de-morelos_ingenia-bienes-raices
sell,house,|Tlalpan|Distrito Federal|México|,"19.301248,-99.14055",2705000,MXN,2681165.4,142550.73,,137,,19744.52555,,,,http://vergel-del-sur.properati.com.mx/nw3l_venta_casa_vergel-del-sur_atlapulco_6_edith-diaz
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.301865,-99.108429",1200000,MXN,1189144.46,63223.78,,120,,10000,,,,http://coyoacan.properati.com.mx/oxf3_venta_departamento_coyoacan_mirador_73_edgar-lopez
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.397686,-99.161395",2303333,MXN,2282496.3,121354.51,,100,,23033.33,,,,http://benito-juarez.properati.com.mx/qza7_venta_departamento_benito-juarez_gabriel-mancera_130_roberto-saavedra
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.369492,-99.161653",3469000,MXN,3437618.44,182769.41,,108,,32120.37037,,,,http://benito-juarez.properati.com.mx/q5x7_venta_departamento_benito-juarez_av-cuauhtemoc_1321_laura-yesica-lopez-maldonado
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3721819,-99.1717578",3685000,MXN,3652530.38,194195.73,92,92,2110.823152,40054.34783,,,,http://benito-juarez.properati.com.mx/eq6l_venta_departamento_benito-juarez
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3794059,-99.1591446",3052300,MXN,3025405.34,160853.09,0,83,,36774.6988,,,,http://benito-juarez.properati.com.mx/njdp_venta_departamento_benito-juarez_grupo-jacz-s-a-de-c-v
sell,house,|Gustavo A. Madero|Distrito Federal|México|,,,,,,0,0,,,,,,http://gustavo-a-madero.properati.com.mx/r5tt_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
sell,house,|Benito Juárez|Quintana Roo|México|,"21.106731,-86.840202",9130000,MXN,9295513.73,494218.77,586,457,843.3767406,19978.11816,,4,,http://cancun.properati.com.mx/fmk5_venta_casa_cancun
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.371745,-99.212281",453067,MXN,448968.29,23870.5,,90,,5034.077778,,,,http://hogar-y-redencion.properati.com.mx/ptex_venta_casa_hogar-y-redencion_privada-santa-lucia_73_ricardo-bahena-leyte
sell,house,|Miguel Hidalgo|Distrito Federal|México|,,,,,,0,0,,,,,,http://miguel-hidalgo-df.properati.com.mx/r8ol_venta_casa_miguel-hidalgo_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.406622,-99.124168",1990000,MXN,1971997.87,104846.1,,88,,22613.63636,,,,http://venustiano-carranza.properati.com.mx/orsu_venta_departamento_venustiano-carranza_inventario-inmobiliario-7
sell,apartment,|Azcapotzalco|Distrito Federal|México|,,917302,MXN,909003.7,48329.41,,49,,18720.44898,,,,http://azcapotzalco.properati.com.mx/q665_venta_departamento_azcapotzalco_jorge-trejo_c56
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,,14800000,MXN,14669593.08,779944.87,200,160,3899.72435,92500,,,,http://miguel-hidalgo-df.properati.com.mx/lem4_venta_departamento_miguel-hidalgo_lomeli-brokers
